zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.121375464684,0,0.115457842248
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.121375464684,0,0.115457842248
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23441,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23398,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
62376,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62319,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62349,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62325,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
